participant_id,file_id,annotation_id,frame_start,frame_end,activity,chunk_id
1,vp1/run1b_2018-05-29-14-02-47.ids_2,1,116,165,closing_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,3,205,260,opening_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,4,260,312,entering_car,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,5,312,346,closing_door_inside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,6,346,436,fastening_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,6,436,457,fastening_seat_belt,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,7,458,528,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,9,5966,6055,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,11,6173,6255,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,13,6562,6653,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,13,6653,6743,fetching_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,13,6743,6762,fetching_an_object,2
1,vp1/run1b_2018-05-29-14-02-47.ids_2,14,6766,6855,opening_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,14,6855,6928,opening_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,6933,7024,working_on_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,7024,7114,working_on_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,7114,7204,working_on_laptop,2
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,7204,7294,working_on_laptop,3
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,7294,7383,working_on_laptop,4
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,7383,7473,working_on_laptop,5
1,vp1/run1b_2018-05-29-14-02-47.ids_2,16,7474,7517,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,17,7690,7740,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,18,7740,7829,working_on_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,18,7829,7919,working_on_laptop,1
