participant_id,file_id,annotation_id,frame_start,frame_end,activity,chunk_id
1,vp1/run1b_2018-05-29-14-02-47.ids_2,0,81,116,standing_by_the_door,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,1,116,165,closing_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,2,167,205,standing_by_the_door,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,3,205,260,opening_door_outside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,4,260,312,entering_car,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,5,312,346,closing_door_inside,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,6,346,436,fastening_seat_belt,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,6,436,457,fastening_seat_belt,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,7,458,528,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,8,5916,5966,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,9,5966,6055,pressing_automation_button,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,10,6055,6146,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,10,6146,6173,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,11,6173,6255,using_multimedia_display,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,12,6255,6345,sitting_still,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,12,6345,6435,sitting_still,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,12,6435,6524,sitting_still,2
1,vp1/run1b_2018-05-29-14-02-47.ids_2,12,6524,6562,sitting_still,3
1,vp1/run1b_2018-05-29-14-02-47.ids_2,13,6562,6653,fetching_an_object,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,13,6653,6743,fetching_an_object,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,13,6743,6762,fetching_an_object,2
1,vp1/run1b_2018-05-29-14-02-47.ids_2,14,6766,6855,opening_laptop,0
1,vp1/run1b_2018-05-29-14-02-47.ids_2,14,6855,6928,opening_laptop,1
1,vp1/run1b_2018-05-29-14-02-47.ids_2,15,6933,7024,working_on_laptop,0
